Id,Label,Weight
保羅·穆哈迪,保羅·穆哈迪,516
保羅·亞崔迪,保羅·亞崔迪,2849
伊如蘭,伊如蘭,362
傑西卡,傑西卡,1581
公爵萊托·亞崔迪,公爵萊托·亞崔迪,759
瑟菲·哈瓦特,瑟菲·哈瓦特,80
男爵弗拉迪米爾·哈肯尼,男爵弗拉迪米爾·哈肯尼,665
菲得·羅薩·哈肯尼,菲得·羅薩·哈肯尼,245
沙德姆四世,沙德姆四世,149
阿麗亞·亞崔迪,阿麗亞·亞崔迪,1046
葛尼·哈萊克,葛尼·哈萊克,467
惠靈頓·尤因,惠靈頓·尤因,14
夏杜特．梅帕絲,夏杜特．梅帕絲,65
史帝加,史帝加,1002
特雷亞拉克斯,特雷亞拉克斯,133
加妮,加妮,476
萊托·亞崔迪二世,萊托·亞崔迪二世,7
甘尼瑪,甘尼瑪,468
萊文布雷,萊文布雷,17
法拉肯,法拉肯,364
泰卡尼克,泰卡尼克,138
文希亞,文希亞,47
Id,Label,Weight
保羅·穆哈迪,保羅·穆哈迪,516
保羅·亞崔迪,保羅·亞崔迪,2849
伊如蘭,伊如蘭,362
傑西卡,傑西卡,1581
公爵萊托·亞崔迪,公爵萊托·亞崔迪,759
瑟菲·哈瓦特,瑟菲·哈瓦特,80
男爵弗拉迪米爾·哈肯尼,男爵弗拉迪米爾·哈肯尼,665
菲得·羅薩·哈肯尼,菲得·羅薩·哈肯尼,245
沙德姆四世,沙德姆四世,149
阿麗亞·亞崔迪,阿麗亞·亞崔迪,1046
葛尼·哈萊克,葛尼·哈萊克,467
惠靈頓·尤因,惠靈頓·尤因,14
夏杜特．梅帕絲,夏杜特．梅帕絲,65
史帝加,史帝加,1002
特雷亞拉克斯,特雷亞拉克斯,133
加妮,加妮,476
萊托·亞崔迪二世,萊托·亞崔迪二世,7
甘尼瑪,甘尼瑪,468
萊文布雷,萊文布雷,17
法拉肯,法拉肯,364
泰卡尼克,泰卡尼克,138
文希亞,文希亞,47
